 studentid ;volledige naam;e-mail;klasgroep;wachtwoord;ssh public key
1;Emma Johnson;emma.johnson@ossap.be;1SNB_D1;G3hjk67*;ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC...
2;Liam Smith;liam.smith@ossap.be;1SNB_D2;Y9fgh45%;ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC...
3;Olivia Williams;olivia.williams@ossap.be;1SNB_D3;R4dfg78$;ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC...
4;Noah Brown;noah.brown@ossap.be;1SNB_D2;S7bvc32^;ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC...
5;Ava Jones;ava.jones@ossap.be;1SNB_D1;F2klm45@;ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC...
6;Isabella Taylor;isabella.taylor@ossap.be;1SNB_D3;A5qwe56#;ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC...
7;Sophia Martinez;sophia.martinez@ossap.be;1SNB_D2;Z8rty98$;ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC...
8;Mia Anderson;mia.anderson@ossap.be;1SNB_D1;P1vbn23%;ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC...
9;Charlotte Thomas;charlotte.thomas@ossap.be;1SNB_D2;C4sdf67$;ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC...
10;Amelia Jackson;amelia.jackson@ossap.be;1SNB_D3;K9zxc12@;ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC...
11;Harper White;harper.white@ossap.be;1SNB_D1;X2vbn45#;ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC...
12;Evelyn Harris;evelyn.harris@ossap.be;1SNB_D2;N5rty78^;ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC...
13;Avery Clark;avery.clark@ossap.be;1SNB_D1;D8fgh90@;ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC...
14;James Lewis;james.lewis@ossap.be;1SNB_D2;B6cvb12^;ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC...
15;Benjamin Adams;benjamin.adams@ossap.be;1SNB_D3;H3jkl45$;ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC...
16;Henry Scott;henry.scott@ossap.be;1SNB_D1;L1vbn34@;ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC...
17;Alexander Turner;alexander.turner@ossap.be;1SNB_D3;P4sdf67%;ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC...
18;Sebastian King;sebastian.king@ossap.be;1SNB_D1;S9zxc12^;ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC...
19;Jack Wright;jack.wright@ossap.be;1SNB_D2;V6cvb12@;ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC...
20;Joseph Walker;joseph.walker@ossap.be;1SNB_D3;K3jkl45$;ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC...
